Radius,Simulated,Theoretical,STDEV
187,19.8972,19.6989,15.3866
188,20.2262,19.9101,17.9508
189,18.237,20.1225,15.2754
190,19.154,20.336,15.4521
191,21.5897,20.5506,18.1112
192,19.1622,20.7664,14.6011
193,20.7032,20.9833,16.3111
194,19.6831,21.2013,16.4618
195,21.5696,21.4204,17.1046
196,21.3068,21.6407,17.3321
197,21.3255,21.8621,17.5369
198,22.4655,22.0846,18.5488
199,20.5358,22.3082,17.7996
200,23.6528,22.533,19.8096
201,21.124,22.7589,17.8953
202,24.4066,22.9859,19.7874
203,23.0328,23.2141,17.6388
204,23.4255,23.4433,17.6327
205,25.4482,23.6737,22.0944
206,24.5291,23.9053,21.4947
207,23.9833,24.1379,18.5328
208,23.714,24.3717,19.332
209,25.4578,24.6066,22.4534
210,25.494,24.8427,21.2527
211,24.3753,25.0798,19.9154
212,26.5716,25.3181,23.0553
213,24.7642,25.5575,19.7953
214,26.7176,25.7981,21.3042
215,26.0133,26.0397,22.8309
216,27.9517,26.2825,21.4714
217,25.8584,26.5265,19.4647
218,26.1978,26.7715,20.9883
219,28.788,27.0177,25.3189
220,26.9644,27.265,21.289
221,27.4022,27.5134,23.2643
222,26.6488,27.763,20.9298
223,27.5261,28.0137,23.993
224,29.1281,28.2655,25.2086
225,29.2985,28.5184,24.7898
226,28.8013,28.7725,25.4041
227,26.8479,29.0277,22.9784
228,29.7428,29.284,23.2243
229,28.873,29.5414,22.0801
230,30.1429,29.8,23.5178
231,32.77,30.0597,27.9461
232,32.7263,30.3205,26.4761
233,30.9961,30.5825,24.3909
234,30.6598,30.8455,22.022
235,31.1552,31.1097,26.2222
236,32.3145,31.3751,29.2272
237,32.8847,31.6415,27.2397
238,33.2249,31.9091,28.855
239,30.7675,32.1778,25.6889
240,35.1311,32.4477,28.7158
241,32.8028,32.7186,27.639
242,31.2628,32.9907,23.9412
243,33.9418,33.2639,28.252
244,35.8027,33.5383,29.2176
245,32.8319,33.8137,27.2681
246,33.9012,34.0903,26.9557
247,33.7283,34.3681,29.2093
248,39.1916,34.6469,31.3311
249,34.9133,34.9269,26.6704
250,36.6847,35.208,32.8475
251,35.4055,35.4902,29.2085
252,35.2072,35.7736,28.4091
253,31.8345,36.0581,26.1161
254,35.9467,36.3437,28.9938
255,37.1827,36.6304,29.9666
256,39.3821,36.9183,34.1058
257,35.5531,37.2073,28.1205
258,37.3867,37.4974,33.3373
259,35.4445,37.7886,29.283
260,40.7089,38.081,33.3959
261,40.5767,38.3745,32.8402
262,36.008,38.6691,30.9674
263,37.651,38.9649,31.8492
264,38.2624,39.2617,36.7227
265,41.107,39.5597,34.1379
266,39.2573,39.8589,30.1919
267,39.2377,40.1591,31.2324
268,42.4026,40.4605,34.7826
269,40.0232,40.763,33.1244
270,39.424,41.0667,31.0482
271,38.8441,41.3714,33.3031
272,39.2084,41.6773,32.554
273,39.0314,41.9843,31.1912
274,40.5642,42.2925,35.1367
275,40.4092,42.6017,34.4048
276,41.7404,42.9121,32.7204
277,42.8627,43.2237,33.9591
278,43.3727,43.5363,36.0106
279,47.5571,43.8501,40.5643
280,43.1523,44.165,35.329
281,45.6309,44.481,38.9469
282,47.195,44.7982,39.0076
283,46.3511,45.1165,37.2521
284,47.6507,45.4359,37.3424
285,45.8311,45.7564,37.9597
286,47.6621,46.0781,41.7372
287,47.0062,46.4009,40.0393
288,45.1931,46.7248,35.8064
289,47.3006,47.0498,43.8123
290,47.4168,47.376,38.0826
291,44.9427,47.7033,35.2602
292,48.0493,48.0317,40.6503
293,47.8549,48.3613,39.8366
294,51.7538,48.6919,41.2221
