Radius,Simulated,Theoretical,STDEV,Diff
143,11.3007,11.5192,8.66622,0.2185
144,11.4411,11.6809,8.38415,0.2398
145,13.3379,11.8437,11.4524,1.4942
146,10.7711,12.0077,7.52298,1.2366
147,12.4974,12.1727,10.3314,0.3247
148,11.1807,12.3389,9.11499,1.1582
149,12.1186,12.5062,9.28218,0.3876
150,12.87,12.6746,11.201,0.1954
151,12.8116,12.8442,10.4768,0.0326
152,12.6073,13.0149,10.08,0.4076
153,12.9693,13.1867,10.1307,0.2174
154,14.0845,13.3597,11.4256,0.7248
155,13.337,13.5337,11.8787,0.1967
156,13.7749,13.7089,12.2129,0.066
157,13.831,13.8853,10.955,0.0543
158,14.1253,14.0627,12.2503,0.0626
159,15.2462,14.2413,11.1905,1.0049
160,14.8916,14.421,12.641,0.4706
161,13.8105,14.6018,11.1229,0.7913
162,15.872,14.7838,13.7655,1.0882
163,15.9074,14.9669,12.8201,0.9405
164,14.9974,15.1511,11.2447,0.1537
165,17.1535,15.3364,14.6554,1.8171
166,14.5494,15.5229,11.4114,0.9735
167,15.7671,15.7105,13.2235,0.0566
168,17.7556,15.8992,13.1293,1.8564
169,17.3848,16.089,14.8078,1.2958
170,15.7755,16.28,14.0853,0.5045
171,16.5493,16.4721,12.9995,0.0772
172,17.3284,16.6653,12.8295,0.6631
173,17.0516,16.8597,15.0403,0.1919
174,15.6528,17.0551,13.1117,1.4023
175,16.3812,17.2517,12.548,0.8705
176,15.4489,17.4495,12.1139,2.0006
177,17.1264,17.6483,13.753,0.5219
178,17.3649,17.8483,13.3421,0.4834
179,17.6896,18.0494,14.7576,0.3598
180,17.3147,18.2516,15.2376,0.9369
181,21.5135,18.455,16.4311,3.0585
182,19.8329,18.6595,18.6146,1.1734
183,17.5761,18.8651,12.8798,1.289
184,18.9569,19.0719,14.955,0.115
185,18.634,19.2797,13.3215,0.6457
186,18.4769,19.4887,15.4769,1.0118
187,19.9614,19.6989,14.9742,0.2625
188,17.8187,19.9101,12.5769,2.0914
189,20.1832,20.1225,15.964,0.0607
190,21.2983,20.336,18.0879,0.9623
191,20.5017,20.5506,15.2452,0.0489
192,21.5248,20.7664,17.7626,0.7584
193,21.2006,20.9833,19.4443,0.2173
194,20.9251,21.2013,16.9244,0.2762
195,22.3925,21.4204,17.2506,0.9721
196,19.753,21.6407,16.1244,1.8877
197,25.1413,21.8621,19.9819,3.2792
198,21.5844,22.0846,17.0837,0.5002
199,22.5479,22.3082,18.6848,0.2397
