Radius,Simulated,Theoretical
1,0.000407534,0.000261782
2,0.00201826,0.00190897
3,0.00375342,0.00471771
4,0.00794292,0.00865828
5,0.0103995,0.013727
6,0.0186393,0.019923
7,0.0238082,0.0272459
8,0.0318288,0.0356956
9,0.044242,0.0452721
10,0.0469315,0.0559753
11,0.0699475,0.0678052
12,0.0756575,0.0807618
13,0.0901963,0.0948451
14,0.0998288,0.110055
15,0.126692,0.126392
16,0.132219,0.143855
17,0.159468,0.162445
18,0.202158,0.182162
19,0.201977,0.203005
20,0.207365,0.224975
21,0.247468,0.248072
22,0.287313,0.272295
23,0.282021,0.297645
24,0.29747,0.324122
25,0.36134,0.351725
26,0.359575,0.380455
27,0.37932,0.410312
28,0.407671,0.441295
29,0.468733,0.473405
30,0.467582,0.506642
31,0.5229,0.541005
32,0.615555,0.576495
33,0.618495,0.613112
34,0.657381,0.650855
35,0.642676,0.689725
36,0.743824,0.729722
37,0.76882,0.770845
38,0.820427,0.813095
39,0.81645,0.856472
40,0.879806,0.900975
41,0.887171,0.946605
42,0.978201,0.993362
43,1.0924,1.04125
44,1.09758,1.09026
45,1.16258,1.14039
46,1.25549,1.19166
47,1.23539,1.24405
48,1.33753,1.29756
49,1.30741,1.35221
50,1.37241,1.40798
51,1.36578,1.46487
52,1.51418,1.5229
53,1.44499,1.58205
54,1.74992,1.64232
55,1.78848,1.70373
56,1.58678,1.76626
57,1.80738,1.82991
58,2.05539,1.8947
59,2.01461,1.96061
60,1.80196,2.02764
61,2.03624,2.09581
62,2.27991,2.1651
63,2.17367,2.23551
64,2.35311,2.30706
65,2.29736,2.37973
66,2.36782,2.45352
67,2.62518,2.52845
68,2.81172,2.6045
69,2.63022,2.68167
70,2.62726,2.75998
71,2.77096,2.83941
72,3.32873,2.91996
73,2.80462,3.00165
74,3.23013,3.08446
75,3.45724,3.16839
76,3.29487,3.25346
77,3.34197,3.33965
78,3.37584,3.42696
79,3.80899,3.51541
80,3.63668,3.60498
81,4.04531,3.69567
82,3.89629,3.7875
83,4.18978,3.88045
84,4.14301,3.97452
85,3.75267,4.06973
86,4.31662,4.16606
87,4.12439,4.26351
88,3.88035,4.3621
89,4.07188,4.46181
90,4.93105,4.56264
91,4.65142,4.66461
92,4.61719,4.7677
93,4.77371,4.87191
94,4.37257,4.97726
95,5.40623,5.08373
96,5.39419,5.19132
97,4.81464,5.30005
98,5.29326,5.4099
99,5.68066,5.52087
100,5.84303,5.63298
101,5.96372,5.74621
102,6.01152,5.86056
103,6.79334,5.97605
104,6.46766,6.09266
105,6.23796,6.21039
106,6.17201,6.32926
107,6.18088,6.44925
108,5.89072,6.57036
109,6.77988,6.69261
110,6.83277,6.81598
111,6.89117,6.94047
112,6.84136,7.0661
113,6.65026,7.19285
114,7.34142,7.32072
115,7.5167,7.44973
116,7.45561,7.57986
117,7.6381,7.71111
118,7.94818,7.8435
119,7.55257,7.97701
120,8.88923,8.11164
121,8.47085,8.24741
122,8.07585,8.3843
123,8.15923,8.52232
124,8.63191,8.66146
125,9.62226,8.80173
126,9.18493,8.94313
127,8.74554,9.08565
128,8.49007,9.2293
129,9.63071,9.37408
130,8.71424,9.51998
131,8.73382,9.66701
132,9.16048,9.81517
133,9.53198,9.96445
134,10.4226,10.1149
135,9.30396,10.2664
136,10.1075,10.4191
137,10.5032,10.5728
138,10.3423,10.7278
139,11.1661,10.8838
140,10.9541,11.041
141,10.6441,11.1993
142,11.5577,11.3587
143,10.4209,11.5192
144,11.639,11.6809
145,11.3829,11.8437
146,11.8643,12.0077
147,12.1062,12.1727
148,11.7933,12.3389
149,12.3432,12.5062
150,13.0656,12.6746
151,12.9171,12.8442
152,13.4241,13.0149
153,14.438,13.1867
154,13.1044,13.3597
155,12.5594,13.5337
156,14.2324,13.7089
157,13.4562,13.8853
158,14.4108,14.0627
159,15.409,14.2413
160,13.3796,14.421
