Radius,Simulated,Theoretical
161,15.4748,14.6018
162,14.3197,14.7838
163,16.0922,14.9669
164,14.9785,15.1511
165,15.1543,15.3364
166,16.2853,15.5229
167,16.6314,15.7105
168,15.9491,15.8992
169,16.2146,16.089
170,16.0309,16.28
171,15.8538,16.4721
172,15.9715,16.6653
173,17.3669,16.8597
174,17.7359,17.0551
175,18.0851,17.2517
176,16.8853,17.4495
177,17.9898,17.6483
178,17.9729,17.8483
179,19.2026,18.0494
180,18.3428,18.2516
181,19.2389,18.455
182,18.3566,18.6595
183,18.0339,18.8651
184,20.396,19.0719
185,19.1453,19.2797
186,20.9611,19.4887
187,21.2111,19.6989
188,18.8764,19.9101
189,22.2793,20.1225
190,21.7945,20.336
191,20.4643,20.5506
192,20.5659,20.7664
193,20.7537,20.9833
194,19.96,21.2013
195,21.6156,21.4204
196,22.1034,21.6407
197,22.7863,21.8621
198,21.9473,22.0846
199,22.2587,22.3082
200,20.3753,22.533
201,20.9923,22.7589
202,20.5604,22.9859
203,22.6433,23.2141
204,22.7187,23.4433
205,23.4564,23.6737
206,23.0085,23.9053
207,20.8264,24.1379
208,25.2511,24.3717
209,23.7642,24.6066
210,26.4553,24.8427
211,22.1686,25.0798
212,22.5633,25.3181
213,28.3668,25.5575
214,26.5971,25.7981
215,26.3209,26.0397
216,27.6029,26.2825
217,25.2736,26.5265
218,27.2523,26.7715
219,26.8451,27.0177
220,25.8962,27.265
221,27.1092,27.5134
222,29.0104,27.763
223,28.5263,28.0137
224,27.9671,28.2655
225,29.827,28.5184
226,28.0507,28.7725
227,28.7223,29.0277
228,30.4896,29.284
229,31.3035,29.5414
230,29.3852,29.8
231,29.9187,30.0597
232,30.1104,30.3205
233,28.517,30.5825
234,29.7911,30.8455
235,28.409,31.1097
236,32.2571,31.3751
237,33.6979,31.6415
238,30.1991,31.9091
239,32.0489,32.1778
240,35.0534,32.4477
241,33.6842,32.7186
242,35.4938,32.9907
243,33.7307,33.2639
244,34.3722,33.5383
245,35.1227,33.8137
246,32.1071,34.0903
247,32.9051,34.3681
248,35.1465,34.6469
249,38.4235,34.9269
250,39.5044,35.208
251,34.605,35.4902
252,38.3159,35.7736
253,37.9004,36.0581
254,36.2268,36.3437
255,36.9686,36.6304
256,37.0259,36.9183
257,37.4827,37.2073
258,39.1215,37.4974
259,35.3685,37.7886
260,32.527,38.081
261,33.2915,38.3745
262,38.1461,38.6691
263,38.5136,38.9649
264,37.476,39.2617
265,36.8122,39.5597
266,36.2228,39.8589
267,39.0617,40.1591
268,41.8356,40.4605
269,43.1085,40.763
270,48.3542,41.0667
271,39.89,41.3714
272,42.9851,41.6773
273,44.6275,41.9843
274,39.737,42.2925
275,39.7423,42.6017
276,38.3951,42.9121
277,40.7511,43.2237
278,44.5822,43.5363
279,44.5745,43.8501
280,46.1074,44.165
281,45.3663,44.481
282,43.1166,44.7982
283,45.7221,45.1165
284,45.9106,45.4359
285,43.7227,45.7564
286,43.4108,46.0781
287,44.9,46.4009
288,43.2459,46.7248
289,45.1633,47.0498
290,46.779,47.376
291,51.743,47.7033
292,44.3115,48.0317
293,51.3974,48.3613
294,45.0686,48.6919
295,43.7615,49.0237
296,49.5907,49.3567
297,48.5521,49.6907
298,50.1829,50.0259
299,54.7907,50.3622
300,49.3107,50.6997
301,56.5551,51.0382
302,48.0484,51.3779
303,46.911,51.7187
304,53.2391,52.0607
305,48.3236,52.4037
306,51.7719,52.7479
307,54.8037,53.0933
308,49.8991,53.4397
309,55.1218,53.7873
310,55.0261,54.136
311,52.9992,54.4858
312,51.4499,54.8368
313,57.5424,55.1889
314,59.3215,55.5421
315,52.2286,55.8964
316,62.0388,56.2519
317,57.6982,56.6085
318,57.3845,56.9662
319,55.1664,57.325
320,59.0069,57.685
321,59.0611,58.0461
322,56.5735,58.4083
323,59.5916,58.7717
324,57.6914,59.1361
325,51.7738,59.5018
326,56.6767,59.8685
327,57.9836,60.2363
328,58.7453,60.6053
329,58.738,60.9754
330,59.7018,61.3467
331,62.8374,61.719
332,58.9896,62.0925
333,65.7272,62.4671
334,66.6801,62.8429
335,68.1019,63.2198
336,59.7033,63.5977
337,66.1249,63.9769
338,59.9751,64.3571
339,61.497,64.7385
340,60.8754,65.121
341,66.9108,65.5046
342,70.8662,65.8894
343,73.4285,66.2753
344,67.3951,66.6623
345,67.1402,67.0504
346,68.0018,67.4397
347,74.0158,67.8301
348,67.0035,68.2216
349,72.752,68.6142
350,66.9504,69.008
351,67.0195,69.4029
352,67.65,69.7989
353,60.9675,70.1961
354,69.0633,70.5944
355,68.1648,70.9938
356,67.4076,71.3943
357,71.6614,71.7959
358,80.3608,72.1987
359,72.6861,72.6026
360,76.5592,73.0077
361,69.4579,73.4138
362,71.1336,73.8211
363,75.5111,74.2295
364,74.6879,74.6391
365,73.0243,75.0498
366,74.4124,75.4616
367,73.4978,75.8745
368,77.5726,76.2885
369,67.7619,76.7037
370,78.8905,77.12
371,77.1538,77.5374
372,77.1664,77.956
373,72.82,78.3757
374,81.786,78.7965
375,78.5929,79.2184
376,83.2655,79.6415
377,83.4009,80.0657
378,73.9653,80.491
379,82.0871,80.9174
380,77.1337,81.345
381,79.5875,81.7737
382,77.6899,82.2035
383,85.4063,82.6345
384,84.4834,83.0666
385,89.6253,83.4998
386,84.0445,83.9341
387,88.97,84.3695
388,81.1753,84.8061
389,95.1907,85.2438
390,89.8627,85.6827
391,85.9897,86.1226
392,85.2088,86.5637
393,70.2153,87.006
394,85.1933,87.4493
395,87.473,87.8938
396,84.2349,88.3394
397,88.3957,88.7861
398,90.6476,89.2339
399,92.3092,89.6829
400,95.9485,90.133
401,87.9672,90.5842
402,86.9789,91.0366
403,79.8288,91.4901
404,94.1765,91.9447
405,98.1649,92.4004
406,102.088,92.8573
407,91.9271,93.3153
408,95.1164,93.7744
409,100.704,94.2346
410,95.2877,94.696
411,91.1138,95.1585
412,85.3397,95.6221
413,91.5737,96.0869
414,89.0131,96.5528
415,89.9116,97.0198
416,93.5353,97.4879
417,108.611,97.9572
418,100.745,98.4275
419,89.0436,98.899
420,99.9557,99.3717
421,104.945,99.8454
422,92.7627,100.32
423,97.4777,100.796
424,96.8702,101.273
425,92.1029,101.752
426,106.519,102.231
427,99.2739,102.712
428,99.8011,103.193
429,100.321,103.676
430,111.885,104.16
431,104.019,104.645
432,106.587,105.131
433,100.18,105.618
434,102.82,106.107
435,105.816,106.596
436,106.751,107.087
437,117.142,107.579
438,115.655,108.072
439,107.047,108.566
440,112.84,109.061
441,115.149,109.557
442,112.43,110.055
443,94.7079,110.553
444,101.528,111.053
445,108.892,111.554
446,113.379,112.056
447,108.788,112.559
448,115.924,113.063
449,119.417,113.568
450,113.662,114.075
451,98.9263,114.582
452,116.365,115.091
453,124.954,115.601
454,113.576,116.112
455,117.964,116.624
456,125.359,117.137
457,114.235,117.651
458,111.209,118.167
459,103.532,118.683
460,115.738,119.201
461,115.202,119.72
462,122.05,120.24
463,124.281,120.761
464,106.151,121.283
465,126.74,121.806
466,122.273,122.331
467,118.577,122.856
468,119.044,123.383
469,116.683,123.911
470,123.861,124.44
471,115.155,124.97
472,127.543,125.501
473,130.374,126.034
474,126.704,126.567
475,129.363,127.102
476,127.176,127.638
477,128.964,128.174
478,131.382,128.712
479,135.833,129.251
480,134.205,129.792
481,139.522,130.333
482,136.527,130.876
483,135.143,131.419
484,113.189,131.964
485,121.758,132.51
486,134.541,133.057
487,128.864,133.605
488,136.348,134.154
489,148.276,134.705
490,129.877,135.256
491,128.73,135.809
492,156.475,136.362
493,131.284,136.917
494,144,137.473
495,137.539,138.03
496,128.022,138.589
497,128.991,139.148
498,142.909,139.709
499,128.559,140.27
